Datetime,Open,High,Low,Close,Volume
2026-07-18 00:00:00+00:00,63893.98828125,63966.671875,63850.1484375,63865.75,0
2026-07-18 01:00:00+00:00,63871.73828125,63959.73046875,63842.3515625,63916.0,0
2026-07-18 02:00:00+00:00,63916.0,63992.76953125,63884.46875,63908.26953125,0
2026-07-18 03:00:00+00:00,63912.28125,63977.55859375,63888.48046875,63970.76953125,0
2026-07-18 04:00:00+00:00,63976.0,63976.0,63895.98828125,63920.0,0
2026-07-18 05:00:00+00:00,63925.87109375,63956.078125,63875.3203125,63924.0,0
2026-07-18 06:00:00+00:00,63924.328125,63962.69921875,63901.37109375,63935.4296875,0
2026-07-18 07:00:00+00:00,63935.4296875,63985.640625,63925.69140625,63950.9296875,0
2026-07-18 08:00:00+00:00,63965.75,63980.23046875,63910.94140625,63960.0,0
2026-07-18 09:00:00+00:00,63960.0,63962.58984375,63899.75,63943.69921875,0
2026-07-18 10:00:00+00:00,63940.8984375,63969.44140625,63939.3203125,63961.48046875,0
2026-07-18 11:00:00+00:00,63960.25,64041.171875,63960.23828125,64016.19140625,0
2026-07-18 12:00:00+00:00,64022.73046875,64212.0,64009.37890625,64164.48046875,66361344
2026-07-18 13:00:00+00:00,64146.078125,64160.7890625,63923.3515625,64065.0703125,0
2026-07-18 14:00:00+00:00,64070.5390625,64151.0,64054.078125,64085.46875,0
2026-07-18 15:00:00+00:00,64087.19140625,64116.62890625,63987.83984375,64076.890625,0
2026-07-18 16:00:00+00:00,64076.87890625,64267.44140625,64040.76171875,64261.37109375,0
2026-07-18 17:00:00+00:00,64264.19140625,64449.98828125,64227.98828125,64440.1015625,0
2026-07-18 18:00:00+00:00,64443.3203125,64608.21875,64436.7890625,64467.9609375,0
2026-07-18 19:00:00+00:00,64472.03125,64561.91015625,64442.2890625,64512.1484375,0
2026-07-18 20:00:00+00:00,64524.7890625,64693.80078125,64470.53125,64654.578125,130798592
2026-07-18 21:00:00+00:00,64654.578125,64808.46875,64575.328125,64692.01171875,0
2026-07-18 22:00:00+00:00,64692.01953125,64818.48046875,64668.640625,64764.328125,304708608
2026-07-18 23:00:00+00:00,64764.3203125,64807.2109375,64676.0,64793.76171875,8589312
2026-07-19 00:00:00+00:00,64796.359375,64861.9296875,64732.3515625,64745.87109375,205850624
2026-07-19 01:00:00+00:00,64745.87109375,64751.05859375,64722.37109375,64725.0,0
2026-07-19 02:00:00+00:00,64725.0,64910.03125,64687.0390625,64784.08984375,351183872
2026-07-19 03:00:00+00:00,64801.109375,64801.109375,64585.5390625,64670.12109375,0
2026-07-19 04:00:00+00:00,64670.12109375,64753.26953125,64571.96875,64681.46875,0
2026-07-19 05:00:00+00:00,64693.46875,64767.171875,64631.83984375,64682.2109375,0
2026-07-19 06:00:00+00:00,64682.2109375,64718.62890625,64650.23828125,64668.08984375,73141248
2026-07-19 07:00:00+00:00,64668.08984375,64736.0,64633.44921875,64678.0,42906624
2026-07-19 08:00:00+00:00,64678.0,64699.48046875,64585.62109375,64668.58984375,195252224
2026-07-19 09:00:00+00:00,64672.30859375,64680.16015625,64458.87890625,64470.3203125,105986048
2026-07-19 10:00:00+00:00,64470.3203125,64654.12890625,64435.03125,64553.6484375,0
2026-07-19 11:00:00+00:00,64550.01171875,64596.01171875,64400.03125,64426.69921875,0
2026-07-19 12:00:00+00:00,64420.21875,64420.21875,64238.078125,64398.0,343541760
2026-07-19 13:00:00+00:00,64399.30078125,64470.26953125,64259.19140625,64432.2890625,479375360
2026-07-19 14:00:00+00:00,64432.2890625,64594.4296875,64370.5703125,64547.19921875,158755840
2026-07-19 15:00:00+00:00,64545.0,64582.0,64451.75,64540.1015625,17799168
2026-07-19 16:00:00+00:00,64532.48828125,64595.98828125,64461.94140625,64493.890625,79618048
2026-07-19 17:00:00+00:00,64495.078125,64701.8984375,64364.0,64504.55859375,0
2026-07-19 18:00:00+00:00,64502.3984375,64510.0,64279.96875,64374.23046875,0
2026-07-19 19:00:00+00:00,64387.98828125,64423.55859375,64301.05078125,64410.0,0
2026-07-19 20:00:00+00:00,64411.62109375,64494.80078125,64411.62109375,64488.30859375,0
2026-07-19 21:00:00+00:00,64501.5,64515.25,64300.0,64372.609375,0
2026-07-19 22:00:00+00:00,64328.5703125,64855.921875,64315.83984375,64629.2109375,622130176
2026-07-19 23:00:00+00:00,64626.01171875,64726.37890625,64523.98828125,64680.51953125,125468672
